,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
0,Narcolepsia,Yipiyou,FERNANDOCOSTA,2018-06-22,149583,0,0.776,0.308,0.776,0.607,0.0,0.11,-8.35,0.367,93.85,4
1,Ansiedad y recuerdos (feat. Prok),Ansiedad y recuerdos (feat. Prok),Denom,2019-04-23,168745,0,0.7,0.315,0.7,0.68,0.0,0.12,-5.783,0.316,89.976,4
2,#RapSinCorte XXII,"#RapSinCorte, Vol. 2",Foyone,2017-08-04,146874,0,0.755,0.0465,0.755,0.689,0.0,0.145,-10.986,0.354,95.845,4
3,Da Vinci,Da Vinci,Ayax y Prok,2019-05-24,133140,0,0.619,0.504,0.619,0.818,0.0,0.266,-6.014,0.387,127.247,3
4,Malamanera,Malamanera,FERNANDOCOSTA,2017-06-23,182129,0,0.829,0.522,0.829,0.589,0.0,0.12,-6.824,0.255,91.988,4
5,Modo Turbio,Modo Turbio,Kaze,2018-06-06,227584,52,0.815,0.0697,0.815,0.79,0.0,0.122,-8.31,0.205,127.918,4
6,Lo Que en Silencio Guardo,Recopilatorio de Temas Inéditos,Kaze,2015-12-03,165173,50,0.778,0.58,0.778,0.718,0.0,0.12,-7.264,0.303,93.207,4
7,Criminal,Rojo y Negro,Ayax y Prok,2018-12-21,193000,0,0.774,0.387,0.774,0.86,0.0,0.237,-4.484,0.325,91.96,4
8,#RapSinCorte VII,"#RapSinCorte, Vol. 1",Foyone,2017-07-28,163636,0,0.552,0.0321,0.552,0.866,4.65e-06,0.347,-9.619,0.323,87.891,4
9,Disasters,La Mazeta,Kulto Kultibo,2016-06-10,275678,32,0.752,0.148,0.752,0.765,0.0,0.0662,-6.595,0.259,97.024,4
10,Quédate,Quédate,Luisaker,2019-04-05,145607,0,0.798,0.514,0.798,0.572,0.0,0.0859,-10.863,0.225,140.05,4
11,Cada Vez,"Miseria, Sangre y Plomo",Desakato,2010-03-10,332306,0,0.453,0.000477,0.453,0.9,3.05e-05,0.2,-4.655,0.043,179.917,4
12,Cristales Rotos,Azul/Rojo,Sons of Aguirre,2018-05-04,162181,45,0.531,0.407,0.531,0.687,0.0,0.0875,-7.4,0.0462,82.562,3
13,Danger,Yipiyou,FERNANDOCOSTA,2018-06-22,223612,0,0.65,0.668,0.65,0.521,1.33e-05,0.135,-7.102,0.0537,170.129,4
14,Nuestros Mejores Momentos,La Hora Del Baile,Kaos Urbano,2016-09-16,211626,0,0.563,0.00404,0.563,0.939,0.000215,0.188,-4.258,0.0413,94.996,4
15,Octubres rotos,Con el Viento de Cara,Desakato,2008-01-02,201106,0,0.583,0.00016,0.583,0.88,0.000406,0.182,-5.188,0.0361,134.973,4
16,Verborrea (with Roberto Iniesta & Iñaki Antón),Caballo de Oro,Poncho K,2013-08-26,243920,45,0.547,0.0343,0.547,0.681,1.23e-06,0.106,-5.582,0.0387,155.969,4
17,Por la calle abajo,Yipiyou,FERNANDOCOSTA,2018-06-22,155076,0,0.867,0.524,0.867,0.487,0.0,0.12,-7.697,0.297,90.029,4
18,Chispa y Oxígeno,Vértigo,Lágrimas De Sangre,2019-02-15,344377,46,0.606,0.7,0.606,0.663,0.0,0.306,-7.037,0.317,169.977,4
19,God's Plan,Scorpion,Drake,2018-06-29,198973,84,0.754,0.0332,0.754,0.449,8.29e-05,0.552,-9.211,0.109,77.169,4
20,En venta? ¡No!,Ahora o Nunca,Kulto Kultibo,2013-12-27,211877,39,0.716,0.209,0.716,0.841,0.0,0.0869,-5.445,0.171,97.152,4
21,Dinamo,Yipiyou,FERNANDOCOSTA,2018-06-22,156985,0,0.693,0.788,0.693,0.672,0.0,0.109,-7.724,0.288,92.223,4
22,Lutte,Amores,Various Artists,2017-12-01,245002,0,0.725,0.15,0.725,0.784,0.0,0.564,-7.86,0.392,94.75,4
23,Te conozco bien,La Real Música Explícita,Lágrimas De Sangre,2011,307415,38,0.622,0.318,0.622,0.786,0.0,0.138,-6.595,0.256,178.217,4
24,Que se joda el viento,28.000 puñaladas,Marea,2004-03-22,305253,55,0.669,0.0138,0.669,0.739,8.84e-06,0.136,-5.872,0.0329,118.04,4
25,Pa que lo gocen,Yipiyou,FERNANDOCOSTA,2018-06-22,220964,0,0.678,0.349,0.678,0.625,0.0,0.116,-7.29,0.109,89.982,4
26,Manolito Caramierda,Una Historia Con Las Manos,Poncho K,2010-04-12,190053,43,0.674,0.0141,0.674,0.851,0.0,0.0464,-5.019,0.0375,140.0,4
27,Si Vienes,Si Vienes,Nikone,2018-09-28,160310,31,0.712,0.457,0.712,0.626,0.0,0.0967,-11.836,0.165,89.859,4
28,Contando Lunares (feat. Cruz Cafuné),La Dura Vida del Joven Rapero,Don Patricio,2019-01-27,219666,0,0.856,0.444,0.856,0.523,0.0,0.0537,-10.481,0.131,105.935,4
29,Cowboys,Yipiyou,FERNANDOCOSTA,2018-06-22,139000,0,0.676,0.772,0.676,0.765,0.0,0.0501,-5.81,0.358,190.631,4
30,Intro,Un perro andaluz,Delaossa,2019-04-28,120372,0,0.488,0.143,0.488,0.743,0.0,0.131,-8.058,0.436,164.45,4
31,Le voy a cobrar a tus labios tus miradas,Esta noche se merece otra ronda,Sinkope,2007-11-20,324600,40,0.288,0.112,0.288,0.504,1.41e-06,0.117,-6.07,0.0383,71.782,4
32,Welcome To Jamrock,Welcome to Jamrock,Damian Marley,2005-01-01,213200,68,0.836,0.0208,0.836,0.661,0.0,0.449,-6.502,0.338,76.71,4
33,Gusanos de seda,Yipiyou,FERNANDOCOSTA,2018-06-22,202527,0,0.545,0.738,0.545,0.904,0.0,0.204,-5.474,0.165,87.933,4
34,Bambino,Bambino,Recycled J,2018-11-16,156000,0,0.667,0.357,0.667,0.772,0.0,0.0763,-6.193,0.298,179.918,4
35,Sin Prisa,Sin Prisa,Nikone,2018-11-09,164954,44,0.652,0.84,0.652,0.442,5.39e-05,0.107,-13.698,0.0861,99.863,4
36,Macetas de colores (feat. Los Delinqüentes) - Cáceres 2016,Eres buena gente,El Desván Del Duende,2007-01-01,244773,0,0.748,0.38,0.748,0.675,0.0,0.0904,-6.999,0.063,102.108,4
37,Qué más da,Yipiyou,FERNANDOCOSTA,2018-06-22,205607,0,0.692,0.683,0.692,0.576,3.33e-06,0.0938,-8.975,0.0821,114.891,4
38,Carretera,Carretera,Natos y Waor,2016-12-01,214588,11,0.673,0.734,0.673,0.753,0.0,0.111,-6.632,0.0549,84.96,4
39,"Birra, Humo y Reflexiones",Kaos Nomada,Hard GZ,2018-07-27,221224,45,0.673,0.453,0.673,0.857,0.0,0.136,-7.271,0.305,92.107,4
40,En Paz,En Paz,Walls,2018-12-03,218936,0,0.766,0.754,0.766,0.359,0.0,0.0865,-10.956,0.114,93.998,4
41,Australia Street,Caress Your Soul,Sticky Fingers,2013-03-08,219026,0,0.472,0.0219,0.472,0.69,0.0,0.0992,-8.092,0.0443,77.478,4
42,Orgullo Banderillero,Sin Miedo a Vivir (Extended Version),SFDK,2014-12-16,268400,52,0.774,0.0996,0.774,0.54,0.0,0.14,-6.58,0.406,83.956,4
43,Monfrero,Yipiyou,FERNANDOCOSTA,2018-06-22,143640,0,0.789,0.684,0.789,0.71,0.0,0.065,-7.004,0.264,92.973,4
44,Gotta Go Get It,Gotta Go Get It,Chicolisto,2019-07-16,134224,0,0.731,0.344,0.731,0.691,0.0603,0.101,-10.112,0.21,80.977,4
45,Voy a Celebrarlo,Si uno no se rinde,Lágrimas De Sangre,2015-04-27,392561,52,0.665,0.354,0.665,0.718,0.0,0.584,-8.06,0.238,95.065,4
46,Ermitaño,Astola & Raton: El Hombre Caracol,Astola,2018-04-02,212369,37,0.756,0.782,0.756,0.543,0.0,0.286,-7.488,0.133,99.947,4
47,Ready to Fight,Ready to Fight,FERNANDOCOSTA,2019-10-03,142249,0,0.732,0.261,0.732,0.795,0.0,0.281,-6.945,0.371,97.507,4
48,Maldición,Maldición,Walls,2018-06-28,167128,0,0.638,0.922,0.638,0.751,0.0,0.169,-12.638,0.162,102.568,3
49,Hou hou hou,Cara y cruz,Ayax y Prok,2018-05-18,126012,0,0.774,0.0283,0.774,0.673,0.0,0.0902,-4.082,0.284,98.671,4
50,Kualqiier Dia,Tus Problemas Crecen,Boikot,2004-07-28,209640,48,0.593,0.00228,0.593,0.977,3.79e-06,0.0873,-4.015,0.159,107.535,4
51,Lento,Lento,FERNANDOCOSTA,2019-08-23,206982,0,0.702,0.463,0.702,0.884,0.0,0.0946,-5.668,0.291,87.838,4
52,Lengua de Serpiente,Lengua de Serpiente,Blake,2018-04-20,226063,0,0.809,0.408,0.809,0.618,0.0,0.147,-11.823,0.107,102.055,4
53,Modo Vacilón,Modo Vacilon,Kream,2018-10-05,223473,41,0.838,0.334,0.838,0.871,0.0,0.137,-4.559,0.315,131.996,4
54,Rizando el rizo,Rizando el rizo,Ayax y Prok,2017-05-30,126816,0,0.635,0.154,0.635,0.718,0.0,0.133,-7.071,0.36,87.935,4
55,Avisos parentales,Yipiyou,FERNANDOCOSTA,2018-06-22,193258,0,0.817,0.357,0.817,0.703,0.0,0.0664,-7.614,0.269,95.0,4
56,23 de Junio,"Mismo Sitio, Distinto Lugar",Vetusta Morla,2017-11-09,207480,56,0.442,0.616,0.442,0.473,1.17e-06,0.0693,-8.63,0.0394,172.879,3
57,Ando a Tientas,Ando a Tientas,SWIT EME,2019-05-10,209680,22,0.659,0.101,0.659,0.786,0.0,0.134,-5.851,0.28,94.126,4
58,El prota,Especies en extinción,Rulo y la contrabanda,2012-09-25,206280,28,0.48,0.00941,0.48,0.735,1.78e-06,0.302,-6.713,0.0399,158.759,4
59,Reina,Yipiyou,FERNANDOCOSTA,2018-06-22,171875,0,0.739,0.234,0.739,0.915,0.0,0.35,-5.604,0.249,91.985,4
60,El sol pegaba,Rojo y Negro,Ayax y Prok,2018-12-21,141500,0,0.559,0.383,0.559,0.825,0.0,0.247,-5.621,0.446,179.907,4
61,Guerrero,Guerrero,Edoby,2018-04-02,182068,46,0.565,0.794,0.565,0.81,0.0,0.0918,-4.078,0.188,173.946,4
62,#RapSinCorte XXXIII,"#RapSinCorte, Vol. 3",Foyone,2017-08-11,176000,0,0.631,0.402,0.631,0.805,0.0,0.81,-10.543,0.156,79.037,4
63,How To Fly,Caress Your Soul,Sticky Fingers,2013-03-08,202186,0,0.676,0.159,0.676,0.645,0.00172,0.106,-9.335,0.0992,151.058,4
64,Roxanne,Rojo y Negro,Ayax y Prok,2018-12-21,162137,0,0.752,0.492,0.752,0.791,0.0,0.063,-8.134,0.199,94.03,4
65,Masculino singular,Veo Veo Mamoneo,Rosendo,2002-11-22,243040,49,0.588,0.00252,0.588,0.915,0.0,0.238,-5.11,0.0352,123.034,4
66,Something New (feat. Ty Dolla $ign),Something New (feat. Ty Dolla $ign),Wiz Khalifa,2017-08-11,200773,48,0.814,0.0935,0.814,0.635,0.0,0.0892,-6.609,0.0809,87.581,4
67,Aquellas Cosas Que Solíamos Hacer,Sin Trampa Ni Cartón,Benito Kamelas,2005-01-01,289626,0,0.554,0.0337,0.554,0.844,1.72e-06,0.069,-6.103,0.0563,167.994,4
68,Esto es rojo y negro,Rojo y Negro,Ayax y Prok,2018-12-21,121263,0,0.72,0.34,0.72,0.647,0.0,0.0793,-10.538,0.586,95.286,4
69,Por Partes,Por Partes,Walls,2018-04-27,184446,0,0.898,0.423,0.898,0.641,0.0,0.123,-7.823,0.117,105.019,4
70,Por verte sonreír,Mira,La Fuga,1998,400480,50,0.398,0.508,0.398,0.825,0.0,0.301,-2.961,0.0641,132.414,4
71,Road To Zion,Welcome to Jamrock,Damian Marley,2005-01-01,317333,62,0.724,0.123,0.724,0.696,0.0,0.106,-6.326,0.201,93.607,4
72,"A veces se me pasa, a veces paso",Cara y cruz,Ayax y Prok,2018-05-18,157890,0,0.717,0.104,0.717,0.953,0.0,0.21,-4.333,0.314,93.06,4
73,Chacho,Chacho,Dollar Selmouni,2017-04-01,151469,0,0.687,0.64,0.687,0.575,5.43e-06,0.691,-7.726,0.307,91.907,4
74,Otra Noche,Mundo Kaotiko,Kaotiko,2001,190746,55,0.552,0.0234,0.552,0.932,0.0,0.104,-5.418,0.0488,112.031,4
75,Apocalypse,Cigarettes After Sex,Cigarettes After Sex,2017-06-09,290616,0,0.369,0.0211,0.369,0.465,0.6,0.109,-9.017,0.0277,94.435,4
76,Obedece,Nuestro Tiempo,Novus Ordo,2017-03-09,259150,0,0.635,0.0164,0.635,0.752,3.71e-06,0.227,-9.577,0.0433,87.481,4
77,Kambelleh,F.y.a.h.,Fyahbwoy,2018-03-23,209023,39,0.833,0.446,0.833,0.85,0.0,0.546,-2.757,0.0871,103.012,4
78,Diversity,Soul Pirate,Alborosie,2008-01-01,249666,42,0.715,0.0373,0.715,0.512,0.0,0.289,-6.826,0.199,133.944,4
79,Green Morning,Green Morning,Astola,2019-02-15,186549,38,0.75,0.706,0.75,0.653,0.0,0.0588,-6.178,0.0686,142.773,4
80,Si Quiere Estar Conmigo,Si Quiere Estar Conmigo,Dollar Selmouni,2018-10-26,211200,0,0.732,0.293,0.732,0.787,0.0434,0.531,-6.053,0.0402,100.038,4
81,Cadenas de Oro,F.y.a.h.,Fyahbwoy,2018-03-23,179787,36,0.594,0.415,0.594,0.718,0.0,0.161,-3.984,0.0433,87.537,4
82,Last Resort,Infest,Papa Roach,2001-04-25,199906,80,0.589,0.000481,0.589,0.89,0.00082,0.201,-3.719,0.0603,90.598,4
83,Natural,Natural,Suu,2018-04-01,241600,0,0.592,0.371,0.592,0.678,8.74e-05,0.162,-5.579,0.0362,96.892,4
84,De Golpe y Porrazo,De Golpe y Porrazo,SWIT EME,2018-12-22,199825,31,0.717,0.452,0.717,0.617,1.87e-05,0.362,-13.524,0.395,85.93,4
85,Cicatrices,Cicatrices,Natos y Waor,2018-02-13,180000,21,0.718,0.695,0.718,0.814,0.0,0.125,-5.467,0.345,120.04,4
86,Mil en multas,Un perro andaluz,Delaossa,2019-04-28,184273,0,0.619,0.495,0.619,0.698,0.0,0.106,-6.929,0.399,126.118,3
87,Agua Pasá,Redención (Versión Exclusiva Spotify),SFDK,2018-03-02,178946,57,0.692,0.423,0.692,0.847,0.0,0.0768,-4.408,0.187,139.773,4
88,Desahucio,Cara y cruz,Ayax y Prok,2018-05-18,205322,0,0.846,0.135,0.846,0.847,0.0,0.0889,-4.42,0.248,93.034,4
89,Dale,Yipiyou,FERNANDOCOSTA,2018-06-22,181286,0,0.536,0.439,0.536,0.887,0.0,0.285,-6.0,0.221,188.116,4
90,Patata,Patata,Luisaker,2017-06-21,181991,0,0.588,0.487,0.588,0.507,0.0,0.108,-11.836,0.428,169.082,5
91,El aire de la calle,El Sentimiento Garrapatero Que Nos Traen Las Flores,Los Delinquentes,2001,186733,61,0.755,0.526,0.755,0.614,0.0,0.113,-9.841,0.0458,99.99,4
92,Ese cosquilleo,Cara y cruz,Ayax y Prok,2018-05-18,206533,0,0.691,0.504,0.691,0.817,0.0,0.368,-5.573,0.32,89.963,4
93,Ouh¡ Gyal,Vuela,Mad Division,2016-10-28,203872,40,0.698,0.329,0.698,0.864,0.0,0.0701,-4.164,0.273,87.927,4
94,Volar Sin Alas,Manual de Jaleo,El Canijo de Jerez,2018-05-11,235751,42,0.494,0.165,0.494,0.83,2.82e-05,0.0965,-6.607,0.12,153.509,4
95,Lo Tierno y la Corteza,11 Palos,Poncho K,2017-09-15,190278,0,0.528,0.00783,0.528,0.819,1.35e-06,0.248,-5.22,0.0305,170.102,4
96,Cuaderno de bitácora,Cuaderno de bitácora,Ayax y Prok,2019-07-08,173617,0,0.759,0.461,0.759,0.555,0.0,0.0831,-12.895,0.877,94.039,4
97,Phantom Limb,Phantom Limb,Melo Moreno,2015-10-16,233726,35,0.797,0.252,0.797,0.477,1.46e-06,0.267,-7.872,0.0371,124.112,4
98,¡Ay! Dolores,Y Ahora Qué?,Reincidentes,2000-03-30,248266,46,0.525,0.0151,0.525,0.851,0.0,0.656,-5.581,0.0643,100.026,4
99,Easy,Easy,Luisaker,2017-05-31,163555,0,0.744,0.279,0.744,0.544,0.0,0.088,-3.911,0.312,78.986,4
